id,rank,  workers  ,company,state,city,  growth_in_%  ,  revenue  ,industry,yrs_on_list
988,4526,120,Underground Printing,MI,Ann Arbor,57,"$13,757,271.00 ",Consumer Products & Services,7
24785,4527,35,KDC Bindery Services,AZ,Tempe,57,"$2,141,915.00 ",Manufacturing,1
336,4528,108,Nitel,IL,Chicago,57,"$56,944,905.00 ",Telecommunications,6
22454,4529,44,Mainstream Technologies,AR,Little Rock,57,"$6,945,414.00 ",IT Services,3
25894,4530,300,Trax Technologies,AZ,Scottsdale,57,"$20,705,000.00 ",Logistics & Transportation,1
24377,4531,149,Centerline Solutions,CO,Golden,57,"$18,158,300.00 ",Telecommunications,2
3171,4532,89,Uckele Health & Nutrition,MI,Blissfield,57,"$20,748,000.00 ",Manufacturing,6
475,4533,371,InfoSync Services,KS,Wichita,57,"$26,834,788.00 ",Financial Services,6
1839,4534,48,Pinckney Hugo Group,NY,Syracuse,57,"$15,705,856.00 ",Advertising & Marketing,7
25635,4535,138,ClickSpark,NY,Henrietta,57,"$7,888,039.00 ",Education,1
21646,4536,26,Horizon Investments,NC,Charlotte,57,"$9,227,810.00 ",Financial Services,3
22500,4537,16,Dazadi,CA,Santa Clarita,57,"$7,399,875.00 ",Retail,3
304,4538,326,Power Home Technologies,NC,Raleigh,57,"$25,585,888.00 ",Security,5
18092,4539,45,Kutir,CA,Newark,57,"$4,284,596.00 ",Human Resources,5
840,4540,96,Sonoma Partners,IL,Chicago,57,"$18,047,324.00 ",IT Services,7
26051,4541,44,Image Systems & Business Solutions,IL,Elk Grove Village,56,"$6,656,122.00 ",Business Products & Services,1
25600,4542,107,Current Medical Services,NC,Sylva,56,"$3,395,000.00 ",Health,1
26467,4543,15,Artisan Logistics,SC,Columbia,56,"$9,561,000.00 ",Logistics & Transportation,1
10932,4544,15,Pride Products Distributors,NJ,Springfield,56,"$2,121,580.00 ",Advertising & Marketing,2
25625,4545,34,220 Marketing,CA,San Diego,56,"$2,448,972.00 ",Advertising & Marketing,1
18837,4546,100,Bluware,TX,Houston,56,"$17,207,391.00 ",Energy,5
4677,4547,26,Highland Forwarding,NH,Londonderry,56,"$16,797,190.00 ",Logistics & Transportation,7
20156,4548,29,Combustion Parts,CA,El Cajon,56,"$12,050,502.00 ",Energy,4
22533,4549,111,U.S. Energy Development,NY,Getzville,56,"$92,222,216.00 ",Energy,6
24456,4550,38,PEAK Resources,CO,Denver,56,"$60,065,846.00 ",IT Services,2
18602,4551,392,Boloco,MA,Boston,56,"$25,040,000.00 ",Food & Beverage,5
22685,4552,11,EthiCare Advisors,NJ,Budd Lake,56,"$3,722,213.00 ",Insurance,3
20060,4553,35,WTWH Media,OH,Cleveland,56,"$6,660,230.00 ",Media,4
741,4554,193,AppRiver,FL,Gulf Breeze,56,"$43,596,085.00 ",IT Services,8
24095,4555,13,Scorpion Coatings,IN,Cloverdale,56,"$4,726,494.00 ",Manufacturing,2
20473,4556,"2,578",Accurate Home Care,MN,Otsego,56,"$48,325,105.00 ",Health,4
22701,4557,102,Ares Sportswear,OH,Hilliard,56,"$11,917,779.00 ",Manufacturing,3
22830,4558,"1,644",International Cruise & Excursions,AZ,Scottsdale,56,"$675,126,000.00 ",Travel & Hospitality,1
17500,4559,12,FranNet,KY,Louisville,56,"$17,899,195.00 ",Consumer Products & Services,5
7990,4560,99,RKA Petroleum Companies,MI,Romulus,56,"$608,613,000.00 ",Energy,5
22231,4561,27,Carolina's Home Medical Equipment,NC,Matthews,56,"$3,596,194.00 ",Health,3
4455,4562,85,Midwest Industrial Supply,OH,Canton,56,"$26,691,100.00 ",Environmental Services,6
24059,4563,50,Taylor Creative,NY,New York,56,"$10,264,536.00 ",Advertising & Marketing,2
23501,4564,22,Dionysus Consulting,NY,West Islip,56,"$3,722,010.00 ",Advertising & Marketing,2
4851,4565,160,North Star Resource Group,MN,Minneapolis,56,"$46,033,000.00 ",Financial Services,3
25280,4566,7,Sports Shares,CO,Denver,56,"$3,245,824.00 ",Travel & Hospitality,1
820,4567,130,Trissential,MN,Minneapolis,56,"$28,056,524.00 ",Business Products & Services,6
9935,4568,62,Image One,MI,Oak Park,56,"$13,918,000.00 ",Business Products & Services,6
20588,4569,366,Open Access Technology International,MN,Minneapolis,56,"$66,782,000.00 ",Energy,4
24282,4570,14,Integrated Systems Management,NY,Tarrytown,56,"$5,035,000.00 ",IT Services,2
3982,4571,42,Kee Safety,NY,Buffalo,56,"$16,044,047.00 ",Manufacturing,7
22793,4572,42,Today's Business Products,OH,Cleveland,56,"$13,811,175.00 ",Business Products & Services,3
80,4573,76,Ntiva,VA,McLean,56,"$14,168,992.00 ",IT Services,5
24971,4574,19,D.H. Charles Engineering,CA,Santa Rosa,56,"$4,279,719.00 ",Engineering,1
19232,4575,18,Square Peg Packaging & Printing,CA,San Diego,56,"$11,561,901.00 ",Business Products & Services,4
17887,4576,"10,000",VXI Global Solutions,CA,Los Angeles,56,"$249,609,092.00 ",Telecommunications,4
17581,4577,212,Location Labs,CA,Emeryville,56,"$27,256,000.00 ",Software,5
18237,4578,174,ReadyTalk,CO,Denver,56,"$33,714,269.00 ",Telecommunications,5
24493,4579,38,USWired,CA,San Jose,56,"$4,924,996.00 ",IT Services,2
18385,4580,33,Phillips Painting,TX,Plano,56,"$8,995,522.00 ",Construction,5
25371,4581,32,UnifiedCommunications.com,TX,Houston,55,"$16,212,753.00 ",Telecommunications,1
24455,4582,72,Softdocs,SC,Columbia,55,"$5,503,942.00 ",Software,2
3636,4583,21,The Tellennium Group,KY,Louisville,55,"$20,112,202.00 ",Telecommunications,8
25882,4584,90,Purium Health Products,CA,Long Beach,55,"$17,674,351.00 ",Food & Beverage,1
25691,4585,98,DeNyse Companies,GA,Douglasville,55,"$13,819,200.00 ",Manufacturing,1
4109,4586,226,Skoda Minotti,OH,Mayfield Village,55,"$40,012,000.00 ",Financial Services,11
